epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.33138,2.66301,4.09247,1.69332,0,0,0,0,2.22511,4.00921,1.55458,3.334e-05,3.334e-05,3.334e-05
2,18.8501,2.619,4.04779,1.5996,0,0,0,0,2.09302,3.96081,1.47958,8.16997e-05,8.16997e-05,8.16997e-05
3,28.5771,2.22315,3.88382,1.41704,0.0029,0.05413,0.00157,0.00076,2.02986,3.86151,1.38392,0.000128079,0.000128079,0.000128079
4,38.4559,1.94262,3.61014,1.30026,0.00492,0.099,0.00289,0.00153,1.91375,3.74078,1.27693,0.000172478,0.000172478,0.000172478
5,47.9934,1.96689,3.24136,1.25732,0.00278,0.05769,0.00156,0.0006,1.8179,3.60817,1.24946,0.000214896,0.000214896,0.000214896
6,58.2037,1.98926,2.89669,1.21191,0.00607,0.12821,0.10612,0.03857,1.77189,3.4982,1.23974,0.000255334,0.000255334,0.000255334
7,67.9595,1.86437,2.5939,1.1778,0.01685,0.39103,0.34133,0.13871,1.79359,3.3285,1.24867,0.000293792,0.000293792,0.000293792
8,77.8698,1.81842,2.28306,1.12502,0.01827,0.43875,0.36218,0.14727,1.75171,3.24432,1.2312,0.000330269,0.000330269,0.000330269
9,87.5554,1.7256,2.05077,1.14164,0.01855,0.45726,0.36583,0.15606,1.70297,3.10066,1.2289,0.000364766,0.000364766,0.000364766
10,97.4896,1.73381,1.97985,1.12601,0.01938,0.46652,0.35691,0.15877,1.71811,3.05076,1.23634,0.000397283,0.000397283,0.000397283
11,108.29,1.71302,1.93131,1.16082,0.02741,0.5584,0.38167,0.20674,1.6713,2.93546,1.21637,0.000427819,0.000427819,0.000427819
12,118.11,1.67261,1.81612,1.09552,0.03105,0.62678,0.40808,0.20967,1.69058,2.87761,1.2246,0.000456375,0.000456375,0.000456375
13,128.575,1.60144,1.65865,1.07273,0.95096,0.11797,0.4343,0.20151,1.77421,2.72373,1.25361,0.00048295,0.00048295,0.00048295
14,139.115,1.56278,1.57386,1.08776,0.95332,0.12457,0.48089,0.23159,1.75943,2.64501,1.25224,0.000507545,0.000507545,0.000507545
15,149.457,1.6139,1.52894,1.0623,1,0.17812,0.52336,0.25751,1.73301,2.57957,1.25156,0.000530159,0.000530159,0.000530159
16,159.585,1.73442,1.62906,1.10748,1,0.17756,0.49377,0.24184,1.72883,2.63237,1.25654,0.000550793,0.000550793,0.000550793
17,169.796,1.47084,1.42788,1.06087,0.96159,0.17308,0.45793,0.23984,1.74033,2.69474,1.2845,0.000569447,0.000569447,0.000569447
18,180.176,1.53288,1.45934,1.09158,0.94947,0.25697,0.48154,0.23843,1.74824,2.58495,1.27932,0.000586121,0.000586121,0.000586121
19,190.623,1.56909,1.43278,1.0432,0.93309,0.35914,0.51287,0.2592,1.71428,2.40399,1.27396,0.000600813,0.000600813,0.000600813
20,201.009,1.51031,1.4624,1.0996,0.88042,0.39579,0.55935,0.2842,1.66626,2.25129,1.24863,0.000613526,0.000613526,0.000613526
21,211.76,1.49198,1.4451,1.09521,0.78693,0.35785,0.56371,0.28618,1.65309,2.21397,1.25687,0.000624258,0.000624258,0.000624258
22,221.859,1.49474,1.32178,1.03871,0.80453,0.40362,0.56783,0.28492,1.60871,2.18237,1.24237,0.00063301,0.00063301,0.00063301
23,232.715,1.56371,1.33077,1.0726,0.77521,0.47479,0.5915,0.3002,1.61767,2.12311,1.24121,0.000639781,0.000639781,0.000639781
24,242.94,1.47612,1.35595,1.06763,0.7482,0.48338,0.57708,0.28386,1.61388,2.05575,1.23735,0.000644572,0.000644572,0.000644572
25,253.266,1.54869,1.37785,1.08326,0.75783,0.48112,0.58886,0.28908,1.62915,2.0376,1.24145,0.000647383,0.000647383,0.000647383
26,263.772,1.54856,1.33224,1.02362,0.7536,0.47657,0.59818,0.29828,1.6282,2.06482,1.23171,0.000648213,0.000648213,0.000648213
27,274.26,1.44813,1.28461,1.0146,0.77002,0.47021,0.6101,0.30253,1.64161,2.08306,1.23909,0.000647063,0.000647063,0.000647063
28,284.891,1.47872,1.19821,1.00927,0.70035,0.46581,0.56752,0.28461,1.61465,2.11826,1.2346,0.000643932,0.000643932,0.000643932
29,295.245,1.531,1.36784,1.08035,0.70035,0.46581,0.56752,0.28461,1.61465,2.11826,1.2346,0.000638821,0.000638821,0.000638821
30,306.004,1.37327,1.16726,1.02324,0.71276,0.47711,0.572,0.28664,1.6191,2.04772,1.23001,0.00063173,0.00063173,0.00063173
31,316.684,1.4526,1.20391,0.99917,0.77798,0.506,0.64169,0.31457,1.62419,1.98705,1.21228,0.000622658,0.000622658,0.000622658
32,327.229,1.50211,1.18999,1.03501,0.81912,0.49573,0.6617,0.33361,1.61616,1.95583,1.20416,0.000611606,0.000611606,0.000611606
33,337.385,1.46596,1.1853,1.02432,0.81912,0.49573,0.6617,0.33361,1.61616,1.95583,1.20416,0.000598573,0.000598573,0.000598573
34,347.654,1.32945,1.20966,1.02102,0.81416,0.50434,0.67403,0.3463,1.62468,1.95434,1.20414,0.000577782,0.000577782,0.000577782
35,357.916,1.46846,1.2082,1.00577,0.85513,0.51649,0.67954,0.3493,1.64793,1.95038,1.20847,0.000544776,0.000544776,0.000544776
36,368.285,1.36826,1.07327,0.98637,0.86251,0.54919,0.69125,0.36819,1.64397,1.88282,1.20741,0.000511769,0.000511769,0.000511769
37,378.795,1.37725,1.13449,0.99779,0.86251,0.54919,0.69125,0.36819,1.64397,1.88282,1.20741,0.000478762,0.000478762,0.000478762
38,389.258,1.43308,1.18148,1.0159,0.84427,0.60058,0.71906,0.38014,1.6338,1.74599,1.20013,0.000445756,0.000445756,0.000445756
39,399.768,1.36375,1.10835,0.99122,0.85042,0.63249,0.75293,0.39787,1.60914,1.58864,1.19403,0.000412749,0.000412749,0.000412749
40,409.909,1.34024,1.0635,0.97263,0.84544,0.64672,0.76078,0.40515,1.59674,1.46251,1.19821,0.000379743,0.000379743,0.000379743
41,419.814,1.32235,1.19116,0.98411,0.84544,0.64672,0.76078,0.40515,1.59674,1.46251,1.19821,0.000346736,0.000346736,0.000346736
42,429.266,1.35336,1.18255,0.99647,0.80707,0.66311,0.76389,0.40926,1.59138,1.40624,1.20202,0.000313729,0.000313729,0.000313729
43,438.978,1.31253,1.15006,1.00207,0.82672,0.66952,0.77137,0.4176,1.57511,1.38344,1.19946,0.000280723,0.000280723,0.000280723
44,448.546,1.22318,1.0716,0.97768,0.81029,0.69822,0.76981,0.42368,1.56475,1.36186,1.19617,0.000247716,0.000247716,0.000247716
45,458.329,1.35706,1.26805,1.01011,0.81029,0.69822,0.76981,0.42368,1.56475,1.36186,1.19617,0.00021471,0.00021471,0.00021471
46,467.92,1.2246,1.07574,0.99171,0.82069,0.70403,0.76642,0.42917,1.55022,1.34348,1.19106,0.000181703,0.000181703,0.000181703
47,477.672,1.28525,1.05813,0.97853,0.82223,0.68776,0.76721,0.43998,1.54208,1.32506,1.19203,0.000148696,0.000148696,0.000148696
48,487.143,1.21261,1.00904,0.96637,0.79201,0.68108,0.77195,0.43227,1.52726,1.30368,1.18713,0.00011569,0.00011569,0.00011569
49,496.72,1.20193,1.02969,0.96063,0.79201,0.68108,0.77195,0.43227,1.52726,1.30368,1.18713,8.26832e-05,8.26832e-05,8.26832e-05
50,506.093,1.26424,1.00999,0.97437,0.79226,0.73034,0.76394,0.43178,1.50892,1.27696,1.18113,4.96766e-05,4.96766e-05,4.96766e-05
