epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.76803,2.77863,4.10323,1.77639,0.00035,0.0045,0.00018,4e-05,2.15353,3.96345,1.46449,3.334e-05,3.334e-05,3.334e-05
2,19.7806,2.51446,4.06084,1.55038,0,0,0,0,1.9917,3.90379,1.3661,8.16997e-05,8.16997e-05,8.16997e-05
3,29.6807,2.18877,3.88849,1.43771,0.00067,0.00901,0.00035,7e-05,1.90514,3.7812,1.25723,0.000128079,0.000128079,0.000128079
4,39.8712,1.97636,3.66333,1.32589,0.00355,0.0496,0.00217,0.00054,2.01903,3.66083,1.20729,0.000172478,0.000172478,0.000172478
5,49.6915,1.98384,3.29112,1.30383,0.00296,0.04206,0.00171,0.00059,1.98487,3.57089,1.19794,0.000214896,0.000214896,0.000214896
6,59.8238,1.96206,2.97198,1.21562,0.0055,0.08108,0.03201,0.01887,1.86589,3.49315,1.17252,0.000255334,0.000255334,0.000255334
7,69.8547,1.77924,2.63399,1.1775,0.0195,0.30631,0.24644,0.13326,1.75859,3.3417,1.13355,0.000293792,0.000293792,0.000293792
8,79.7375,1.80263,2.28734,1.15859,0.02079,0.33333,0.2655,0.13118,1.76906,3.27619,1.14914,0.000330269,0.000330269,0.000330269
9,89.8669,1.74474,2.19791,1.15142,0.02198,0.33784,0.28946,0.13943,1.73038,3.18124,1.14476,0.000364766,0.000364766,0.000364766
10,99.7305,1.67692,1.89219,1.14769,0.02454,0.3634,0.30721,0.14734,1.72548,3.14025,1.13726,0.000397283,0.000397283,0.000397283
11,109.74,1.70219,1.91029,1.15002,0.03049,0.42966,0.33604,0.18239,1.68307,3.04393,1.1175,0.000427819,0.000427819,0.000427819
12,119.797,1.73352,1.85488,1.11629,0.03261,0.44926,0.33563,0.18551,1.66568,3.00649,1.12074,0.000456375,0.000456375,0.000456375
13,129.855,1.65554,1.75331,1.11313,1,0.08345,0.33152,0.18447,1.69026,2.87826,1.139,0.00048295,0.00048295,0.00048295
