epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.97875,2.60358,4.09479,1.70127,0,0,0,0,2.43379,4.02483,1.50636,3.334e-05,3.334e-05,3.334e-05
2,20.3703,2.50831,4.02768,1.54376,0,0,0,0,2.30082,3.97526,1.43673,8.16997e-05,8.16997e-05,8.16997e-05
3,30.8008,2.20299,3.91412,1.42397,0.00043,0.0061,0.00022,0.00013,2.37577,3.90995,1.41804,0.000128079,0.000128079,0.000128079
4,41.205,1.92604,3.63835,1.30016,0.00139,0.02012,0.00087,0.00014,2.41927,3.82473,1.35446,0.000172478,0.000172478,0.000172478
5,51.5675,1.92346,3.2878,1.26526,0.00188,0.02621,0.00106,0.00032,2.24135,3.72183,1.2608,0.000214896,0.000214896,0.000214896
6,61.7878,1.8349,2.78448,1.18621,0.00335,0.04958,0.00392,0.00093,2.09064,3.63158,1.24195,0.000255334,0.000255334,0.000255334
7,71.8337,1.76019,2.42731,1.17134,0.01144,0.18042,0.13927,0.05722,1.97827,3.51578,1.2313,0.000293792,0.000293792,0.000293792
8,82.2298,1.81409,2.14646,1.13876,0.01511,0.24259,0.16037,0.06193,1.92929,3.44715,1.2175,0.000330269,0.000330269,0.000330269
9,92.6023,1.66636,2.00729,1.1399,0.01886,0.31269,0.18581,0.07348,1.84812,3.28165,1.19135,0.000364766,0.000364766,0.000364766
10,102.817,1.60936,1.82699,1.10993,0.01966,0.32021,0.18827,0.08369,1.85527,3.19735,1.19548,0.000397283,0.000397283,0.000397283
11,113.397,1.67132,1.85229,1.16425,0.02199,0.33018,0.18578,0.0984,1.78456,3.09945,1.18408,0.000427819,0.000427819,0.000427819
12,123.894,1.72248,1.80429,1.12515,0.02517,0.36677,0.19377,0.10483,1.79705,3.05405,1.18295,0.000456375,0.000456375,0.000456375
13,133.846,1.5258,1.58389,1.07771,0.83504,0.05698,0.17028,0.09287,1.80956,2.97495,1.20703,0.00048295,0.00048295,0.00048295
14,144.201,1.50701,1.47179,1.08359,0.71987,0.08839,0.19465,0.10462,1.80499,2.94868,1.2032,0.000507545,0.000507545,0.000507545
15,154.667,1.62351,1.53804,1.08398,0.56651,0.19108,0.23733,0.12505,1.82355,2.95557,1.19974,0.000530159,0.000530159,0.000530159
16,165.242,1.75157,1.69774,1.11376,0.02832,0.40478,0.23332,0.11742,1.78947,2.94792,1.18785,0.000550793,0.000550793,0.000550793
17,175.452,1.48692,1.48048,1.11719,0.53954,0.19039,0.23551,0.11999,1.85577,2.91144,1.21749,0.000569447,0.000569447,0.000569447
18,185.76,1.58784,1.45322,1.12035,0.88162,0.12181,0.24219,0.11991,1.8835,2.87617,1.22011,0.000586121,0.000586121,0.000586121
19,195.976,1.50862,1.3733,1.06629,0.88296,0.1275,0.25203,0.12662,1.87024,2.8358,1.2139,0.000600813,0.000600813,0.000600813
20,206.14,1.42857,1.37188,1.09859,0.91191,0.14408,0.27484,0.13221,1.84406,2.78299,1.2041,0.000613526,0.000613526,0.000613526
21,216.09,1.46183,1.3473,1.10527,0.69605,0.14121,0.26376,0.12712,1.80401,2.80823,1.19335,0.000624258,0.000624258,0.000624258
22,226.484,1.45122,1.25303,1.05499,0.61602,0.16176,0.26304,0.13008,1.77236,2.77084,1.18211,0.00063301,0.00063301,0.00063301
23,236.558,1.47756,1.34139,1.09867,0.65937,0.16093,0.2887,0.14751,1.78395,2.74164,1.1768,0.000639781,0.000639781,0.000639781
24,246.415,1.41203,1.29979,1.06731,0.70687,0.18355,0.29605,0.15187,1.79945,2.71855,1.17068,0.000644572,0.000644572,0.000644572
25,256.708,1.49138,1.28619,1.0739,0.69577,0.21336,0.31329,0.16138,1.7944,2.64224,1.15887,0.000647383,0.000647383,0.000647383
26,267.29,1.47443,1.27814,1.0248,0.7551,0.24977,0.3823,0.20382,1.72828,2.51657,1.12114,0.000648213,0.000648213,0.000648213
27,277.839,1.59968,1.32119,1.04019,0.71169,0.29541,0.42751,0.2157,1.69843,2.3351,1.11398,0.000647063,0.000647063,0.000647063
28,288.602,1.43312,1.19438,1.00718,0.59433,0.32288,0.40265,0.19445,1.76694,2.19198,1.14846,0.000643932,0.000643932,0.000643932
29,299.217,1.36919,1.14328,1.03352,0.59433,0.32288,0.40265,0.19445,1.76694,2.19198,1.14846,0.000638821,0.000638821,0.000638821
30,309.807,1.35049,1.14467,1.0285,0.5497,0.35275,0.3914,0.1915,1.77447,2.06523,1.15128,0.00063173,0.00063173,0.00063173
31,321.038,1.41023,1.24825,1.00724,0.61071,0.38831,0.45157,0.22455,1.72484,1.97503,1.1351,0.000622658,0.000622658,0.000622658
32,331.681,1.45558,1.16217,1.01948,0.57758,0.41689,0.47577,0.24495,1.72625,1.9147,1.12863,0.000611606,0.000611606,0.000611606
33,341.983,1.3652,1.12578,1.00212,0.57758,0.41689,0.47577,0.24495,1.72625,1.9147,1.12863,0.000598573,0.000598573,0.000598573
34,352.971,1.45421,1.26913,1.03697,0.60388,0.46045,0.48506,0.25281,1.67468,1.88171,1.10048,0.000577782,0.000577782,0.000577782
35,363.477,1.41898,1.14692,1.01748,0.6011,0.43389,0.48176,0.25565,1.69593,1.89121,1.1038,0.000544776,0.000544776,0.000544776
36,374.066,1.33093,1.07332,0.99973,0.60622,0.42793,0.46676,0.24467,1.72363,1.90562,1.10864,0.000511769,0.000511769,0.000511769
37,384.464,1.28975,1.03499,0.97799,0.60622,0.42793,0.46676,0.24467,1.72363,1.90562,1.10864,0.000478762,0.000478762,0.000478762
38,395.063,1.36588,1.09951,1.02205,0.58164,0.41492,0.46643,0.24439,1.72353,1.88286,1.1135,0.000445756,0.000445756,0.000445756
39,405.446,1.34828,1.10139,0.9989,0.60643,0.44412,0.47779,0.24503,1.72482,1.83603,1.11479,0.000412749,0.000412749,0.000412749
40,415.498,1.29497,1.03056,0.97816,0.6379,0.44489,0.4978,0.24988,1.73214,1.77054,1.111,0.000379743,0.000379743,0.000379743
41,425.137,1.22989,1.05668,0.97575,0.6379,0.44489,0.4978,0.24988,1.73214,1.77054,1.111,0.000346736,0.000346736,0.000346736
42,434.621,1.32558,1.14054,1.01751,0.65,0.44854,0.51054,0.25933,1.73689,1.72867,1.11107,0.000313729,0.000313729,0.000313729
43,444.013,1.22677,1.13169,1.01649,0.64907,0.46481,0.51146,0.26537,1.72419,1.69869,1.11282,0.000280723,0.000280723,0.000280723
44,453.337,1.22624,1.0728,1.00289,0.68333,0.46683,0.52127,0.27798,1.69822,1.69069,1.11113,0.000247716,0.000247716,0.000247716
45,462.705,1.21841,1.25284,0.9962,0.68333,0.46683,0.52127,0.27798,1.69822,1.69069,1.11113,0.00021471,0.00021471,0.00021471
46,472.198,1.21099,1.0298,1.00129,0.68088,0.47566,0.53492,0.2789,1.67471,1.68333,1.11087,0.000181703,0.000181703,0.000181703
47,481.674,1.23855,1.06422,0.98176,0.69009,0.48057,0.55225,0.28534,1.65638,1.69486,1.10675,0.000148696,0.000148696,0.000148696
